brand,model_number,model_name,year,randomdata,model_search
John Deere,761XS1177,Crawler Pipe Layer,2016,1177,761XS1177
Fendt,Commander 6600 TWIN,Air Drill,2011,1132,Commander6600TWIN
Volvo,Lexion 600,Motor Grader,2001,1429,Lexion600
Caterpillar,STEIGER 580 WHEELED,Crawler Tractor,2008,1271,STEIGER580WHEELED
Komatsu,544K-II,4WD Tractor,2018,1047,544K-II
Case IH,J-41 2024,Combine,2001,1317,J-412024
Case IH,CB214B,Skid Steer Loader,2012,1963,CB214B
Bomag,T2001982,4WD Tractor,2006,1982,T2001982
Komatsu,D3C Series III,Loader Backhoe,2014,1250,D3CSeriesIII
Caterpillar,724K1721,MFWD Tractor,2008,1721,724K1721
Komatsu,320B LN,Baler,2006,1900,320BLN
Caterpillar,VDA 621,MFWD Tractor,2009,1803,VDA621
Massey Ferguson,Crumbler 50ft,Multi Terrain Loader,2011,1785,Crumbler50ft
Massey Ferguson,DFH-654,Combine,2009,1618,DFH-654
Bourgault,750B1987,Shovel,2001,1987,750B1987
JCB,933C Hystat LGP,Loader Backhoe,2004,1682,933CHystatLGP
Volvo,3000 i Alu,Hydraulic Excavator,2008,1309,3000iAlu
Michigan,TF3271417,4WD Tractor,2014,1417,TF3271417
New Holland,RC501613,Combine,2016,1613,RC501613
Caterpillar,TXC300LC-2,Midi Excavator,2019,1761,TXC300LC-2
Caterpillar,HA60C-3 JP,MFWD Tractor,2005,1428,HA60C-3JP
John Deere,89601058,MFWD Tractor,2002,1058,89601058
Kubota,ZW1801640,Asphalt Paver,2018,1640,ZW1801640
Taylor Way,257B Series 3,4WD Tractor,2000,1825,257BSeries3
Case,D4K21034,4WD Tractor,2000,1034,D4K21034
Clark Michigan,L9501702,4WD Tractor,2005,1702,L9501702
Sunflower,15471533,4WD Tractor,2017,1533,15471533
Caterpillar,450G1320,2WD Tractor,2007,1320,450G1320
Landini,PC300LC-8M0,Cultivator,2000,1416,PC300LC-8M0
Case,WORKMASTER™ 60 4WD,Skid Steer Loader,2013,1367,WORKMASTER™604WD
New Holland,CC4200 VI,4WD Tractor,2003,1592,CC4200VI
Miller,FARMALL 110V VINEYARD,Crawler Tractor,2018,1487,FARMALL110VVINEYARD
JCB,77161053,4WD Tractor,2008,1053,77161053
Daewoo,904H1334,Midi Excavator,2004,1334,904H1334
Hitachi,563D1059,Hydraulic Excavator,2006,1059,563D1059
Komatsu,25542000,Mini Excavator,2001,2000,25542000
Case IH,Lexion 560,Midi Excavator,2011,1731,Lexion560
AMCO,2454D Live Heel,Asphalt Paver,2013,1726,2454DLiveHeel
Sunflower,82401238,Rock Truck,2011,1238,82401238
Krause,A651901,Feller Buncher,2012,1901,A651901
New Holland,80181707,4WD Tractor,2000,1707,80181707
Ezee-On,5820W1315,4WD Tractor,2002,1315,5820W1315
Liebherr,BG1000E,Hydraulic Excavator,2013,1781,BG1000E
Caterpillar,MF6616S,Mobile Excavator,2004,1289,MF6616S
Massey Ferguson,R94001142,Crawler Tractor,2018,1142,R94001142
John Deere,200 20ft,Hydraulic Excavator,2016,1669,20020ft
John Deere,84501288,Hydraulic Excavator,2002,1288,84501288
John Deere,277C Series 2,Utility Tractor,2015,1010,277CSeries2
Case IH,TXC470LC-1,Baler,2019,1975,TXC470LC-1
Ezee-On,M5-111HDCC12,4WD Tractor,2007,1767,M5-111HDCC12
Samsung,75201854,Multi Terrain Loader,2012,1854,75201854
Bomag,9400-4 30,Feller Buncher,2018,1227,9400-430
Case,ZX210LC-6,Wheel Loader,2004,1581,ZX210LC-6
Volvo,BR5501867,Disc,2006,1867,BR5501867
Sunflower,544J Powerllel w/ QC & Fork,Wheel Loader,2008,1066,544JPowerllelwQC&Fork
Fendt,735B1988,Vibratory Smooth Drum Roller,2018,1988,735B1988
Kubota,T7701297,2WD Tractor,2018,1297,T7701297
Caterpillar,160-1220,4WD Tractor,2009,1711,160-1220
New Holland,GC1705,Disc,2018,1410,GC1705
John Deere,FARMALL 110V VINEYARD,Combine,2018,1693,FARMALL110VVINEYARD
JCB,DHS945,Shovel,2009,1386,DHS945
Terex,PF6170,2WD Tractor,2013,1105,PF6170
Samsung,D6T1266,Motor Grader,2014,1266,D6T1266
Caterpillar,14801176,Wheel Loader,2008,1176,14801176
McCormick,M1551955,Skid Steer Loader,2019,1955,M1551955
Zettelmeyer,L70F1738,2WD Tractor,2013,1738,L70F1738
Dynapac,SR1601990,4WD Tractor,2016,1990,SR1601990
New Holland,950F1050,Crawler Tractor,2018,1050,950F1050
John Deere,WORKMASTER™ 60 4WD,Vibratory Compactor,2015,1992,WORKMASTER™604WD
Fendt,MF6712,Wheel Loader,2012,1918,MF6712
Iseki,CX2161411,Cultivator,2006,1411,CX2161411
Kuhn,Condor A75,Articulated Dump Truck,2012,1967,CondorA75
Yanmar,LX300-7A,Combine,2004,1098,LX300-7A
Krause,D475ASD-5E0,4WD Tractor,2012,1025,D475ASD-5E0
JCB,5817WR,Crawler Tractor,2007,1630,5817WR
Vibromax,1651111,Rock Truck,2006,1111,1651111
Dynapac,PC138USLC-2,Articulated Dump Truck,2018,1123,PC138USLC-2
New Holland,6230 OOS Tractor,Hydraulic Excavator,2015,1559,6230OOSTractor
Sany,95301054,Hydraulic Excavator,2012,1054,95301054
Bomag,336F L XE,Wheel Loader,2003,1874,336FLXE
Komatsu,HD PLUS 120 VO,Mobile Excavator,2014,1562,HDPLUS120VO
Landini,SK210LC-10,Multi Terrain Loader,2013,1413,SK210LC-10
Bomag,323D LN,Skid Steer Loader,2005,1153,323DLN
Hamm,422E1825,Articulated Dump Truck,2003,1825,422E1825
Komatsu,13 QX2 32-45,Hydraulic Excavator,2005,1746,13QX232-45
Hamm,320C L Utility,Wheel Loader,2005,1028,320CLUtility
Ranger,986H1481,Midi Excavator,2005,1481,986H1481
New Holland,CX3501760,Hydraulic Excavator,2011,1760,CX3501760
Bourgault,SVL95-2SHFC,Skid Steer Loader,2004,1933,SVL95-2SHFC
Caterpillar,OSL-600-1622,Sprayer,2007,1849,OSL-600-1622
Caterpillar,48901376,2WD Tractor,2002,1376,48901376
Komatsu,5710-54,4WD Tractor,2017,1543,5710-54
Hagie,STEIGER 420 WHEELED,MFWD Tractor,2011,1832,STEIGER420WHEELED
Caterpillar,Orchard 3100,Hydraulic Excavator,2006,1300,Orchard3100
Case IH,344K1964,Multi Terrain Loader,2004,1964,344K1964
Ammann,ZX600LC,Multi Terrain Loader,2016,1012,ZX600LC
New Holland,D75 LT,Wheel Loader,2011,1061,D75LT
Hesston,JL8531545,4WD Tractor,2006,1545,JL8531545
Mauldin,ME2203,Motor Grader,2009,1527,ME2203
Caterpillar,L120B1904,Crawler Tractor,2006,1904,L120B1904
Caterpillar,624GH1236,Disc,2018,1236,624GH1236
Caterpillar,A72L1162,Vibratory Compactor,2008,1162,A72L1162
Volvo,5630-40 41.6ft,Vibratory Compactor,2012,1890,5630-4041.6ft
Fendt,Variant 360 RC,4WD Tractor,2016,1917,Variant360RC
Hitachi,HD900VII,4WD Tractor,2014,1650,HD900VII
John Deere,EC220DL,Wheel Loader,2009,1485,EC220DL
Komatsu,B7510DTN,Cold Planer,2005,1527,B7510DTN
Terex,456HT Super High Lift,Hydraulic Excavator,2011,1548,456HTSuperHighLift
Caterpillar,MF 465,Cold Planer,2002,1665,MF465
Vermeer,12MTX1381,Crawler Tractor,2006,1381,12MTX1381
Caterpillar,ZX200LC,Articulated Dump Truck,2012,1835,ZX200LC
Hyundai,"NUTRI-PLACER 2800, 1000 GALLON",4WD Tractor,2007,1030,"NUTRI-PLACER2800,1000GALLON"
Kubota,TXC340LC-1,Harrow,2016,1318,TXC340LC-1
Caterpillar,NH 640,Wheel Loader,2019,1466,NH640
JCB,Farmall 105U,4WD Tractor,2019,1586,Farmall105U
Massey Ferguson,G746B1458,Cultivator,2009,1458,G746B1458
Burch,PUMA 185 CVT,Hydraulic Excavator,2005,1154,PUMA185CVT
Caterpillar,535 Heavy-Duty / Quadtrac,Hydraulic Excavator,2016,1287,535Heavy-DutyQuadtrac
Tata Hitachi,JD570A,Wheel Loader,2008,1535,JD570A
Hitachi,Grass Harrow 15.0,Hydraulic Excavator,2017,1944,GrassHarrow15.0
Komatsu,CT361837,Loader Backhoe,2010,1837,CT361837
Burch,3051225,Midi Excavator,2014,1225,3051225
Caterpillar,MT975B,Wheel Loader,2012,1124,MT975B
Ammann,H455S1923,Cultivator,2004,1923,H455S1923
JCB,220-2222,4WD Tractor,2017,1859,220-2222
Caterpillar,1500DX,Multi Terrain Loader,2001,1948,1500DX
Ezee-On,CX751570,4WD Tractor,2007,1570,CX751570
Case IH,ST351258,Wheel Loader,2003,1258,ST351258
Case IH,ED1901555,Mobile Excavator,2017,1555,ED1901555
Massey Ferguson,EX 2600-6 BE,Sprayer,2014,1335,EX2600-6BE
Bomag,350-1162,Crawler Tractor,2012,1790,350-1162
JCB,53141577,Baler,2015,1577,53141577
Krause,L2151926,Vibratory Smooth Drum Roller,2018,1926,L2151926
Sumitomo,7400-21WR,Motor Scraper,2002,1239,7400-21WR
Krause,HD70K1522,Wheel Loader,2011,1522,HD70K1522
Caterpillar,428E1607,Integrated Tool Carrier,2009,1607,428E1607
Link-Belt,MX2701790,Asphalt Paver,2002,1790,MX2701790
Massey Ferguson,724J Z-Bar,2WD Tractor,2012,1637,724JZ-Bar
Liebherr,ZX520LCR-3,Wheel Loader,2013,1778,ZX520LCR-3
Hamm,TW801328,Shovel,2006,1328,TW801328
New Holland,FARMALL 115U,Combine,2015,1211,FARMALL115U
JCB,EC160CL,Skid Steer Loader,2016,1252,EC160CL
Case IH,BX1880,Utility Tractor,2017,1778,BX1880
Komatsu,T7.210 SideWinder II,4WD Tractor,2001,1075,T7.210SideWinderII
McCormick,772AH1560,4WD Tractor,2015,1560,772AH1560
Salford,CB434D XW,Articulated Dump Truck,2011,1210,CB434DXW
Mauldin,Vio75-A,Asphalt Paver,2018,1721,Vio75-A
JCB,29561381,4WD Tractor,2002,1381,29561381
Caterpillar,ST34a1351,Hydraulic Excavator,2003,1351,ST34a1351
Case IH,ZX350LC-6,Vibratory Smooth Drum Roller,2017,1861,ZX350LC-6
Hardi,VMT480,Hydraulic Excavator,2015,1684,VMT480
AMCO,PC12R-8,Vibratory Smooth Drum Roller,2007,1680,PC12R-8
Spra-Coupe,63201826,Crawler Tractor,2018,1826,63201826
Volvo,DX190W-5,2WD Tractor,2010,1696,DX190W-5
Bobcat,"NUTRI-PLACER 2800, 850 GALLON",Hydraulic Excavator,2010,1121,"NUTRI-PLACER2800,850GALLON"
Fendt,SK850LC-9,Skidder,2014,1066,SK850LC-9
Top Air,623K1979,Skid Steer Loader,2007,1979,623K1979
Caterpillar,G780B1142,Cultivator,2015,1142,G780B1142
Liebherr,Vision 105,Hydraulic Excavator,2015,1222,Vision105
John Deere,TL4201472,Vibratory Smooth Drum Roller,2015,1472,TL4201472
Hitachi,MX2401655,4WD Tractor,2004,1655,MX2401655
Caterpillar,521E1442,4WD Tractor,2012,1442,521E1442
Antec,R140LC-9A,Skid Steer Loader,2014,1810,R140LC-9A
Yanmar,580D1384,Wheel Loader,2012,1384,580D1384
Hyundai,MF 6495,Skid Steer Loader,2001,1194,MF6495
Kubota,R35Z-9,Loader Backhoe,2010,1143,R35Z-9
Burch,933C Hystat LGP,Shovel,2014,1053,933CHystatLGP
Komatsu,LT95A1174,Baler,2002,1174,LT95A1174
Hitachi,CLG842,Hydraulic Excavator,2015,1075,CLG842
New Holland,SD25F1358,Mini Excavator,2013,1358,SD25F1358
Volvo,SK40SR-5,Wheel Loader,2019,1301,SK40SR-5
John Deere,5341605,Disc,2007,1605,5341605
Martens Mfg,9271488,Disc,2011,1488,9271488
Komatsu,MT645C,Hydraulic Excavator,2003,1541,MT645C
Massey Ferguson,5541-62-16-10,2WD Tractor,2015,1458,5541-62-16-10
Case IH,ZX60USB-5,Hydraulic Excavator,2009,1409,ZX60USB-5
Case,F-41 2022,Wheel Loader,2017,1069,F-412022
Komatsu,8430 250 PTO hp - IVT,Wheel Loader,2001,1246,8430250PTOhp-IVT
Airman,MF 185 Series II,Baler,2015,1328,MF185SeriesII
JCB,E33C1806,Crawler Tractor,2014,1806,E33C1806
Caterpillar,CX37C1689,Disc,2007,1689,CX37C1689
Doosan,VM186PD,4WD Tractor,2011,1930,VM186PD
New Holland,HT2200B,Crawler Tractor,2007,1911,HT2200B
Kioti,CC2200,Hydraulic Excavator,2005,1960,CC2200
Claas,320C LN,Disc,2002,1619,320CLN
Hitachi,T6070 Plus,Wheel Loader,2017,1503,T6070Plus
Steyr,MF6713,Wheel Loader,2002,1228,MF6713
John Deere,MC115D,4WD Tractor,2006,1310,MC115D
New Holland,D6T1073,Log Loader,2018,1073,D6T1073
John Deere,CB34B XW,MFWD Tractor,2011,1676,CB34BXW
Burch,VM1500,Hydraulic Excavator,2002,1975,VM1500
Caterpillar,36801928,Crawler Tractor,2008,1928,36801928
New Holland,YZK201119,Baler,2006,1119,YZK201119
New Holland,Discover XM 32,Disc,2012,1316,DiscoverXM32
Valmet,MF 5365,4WD Tractor,2009,1718,MF5365
Sumitomo,250T1934,Hydraulic Excavator,2016,1934,250T1934
Thomas,7531826,MFWD Tractor,2018,1826,7531826
Neuson mht,5000 HD-39\',Loader Backhoe,2016,1599,5000HD-39\'
Liebherr,T353HST,4WD Tractor,2007,1558,T353HST
Caterpillar,33001280,Hydraulic Excavator,2009,1280,33001280
New Holland,74341809,Vibratory Smooth Drum Roller,2012,1809,74341809
Ammann,BW190AD4HF,Vibratory Compactor,2007,1521,BW190AD4HF
New Holland,930H1481,Loader Backhoe,2006,1481,930H1481
Komatsu,92401197,Crawler Tractor,2002,1197,92401197
Massey Ferguson,725C1120,Cultivator,2000,1120,725C1120
Terex,6220L1913,4WD Tractor,2014,1913,6220L1913
Komatsu,MF 240,Baler,2012,1906,MF240
Caterpillar,TD15M LGP,Articulated Dump Truck,2006,1077,TD15MLGP
New Idea,L556 2plus2,Multi Terrain Loader,2003,1139,L5562plus2
Caterpillar,ZL702B,Hydraulic Excavator,2000,1912,ZL702B
Hitachi,1450S1218,Baler,2001,1218,1450S1218
Caterpillar,CBL401225,Wheel Loader,2015,1225,CBL401225
Case IH,M2001371,4WD Tractor,2008,1371,M2001371
Case IH,W50BTC,Hydraulic Excavator,2018,1748,W50BTC
Case IH,D53P-17,4WD Tractor,2003,1060,D53P-17
Kobelco,DK45SE HST,Wheel Loader,2002,1470,DK45SEHST
Komatsu,550H LT,Hydraulic Excavator,2009,1037,550HLT
Bourgault,D155AX-5,Wheel Loader,2018,1347,D155AX-5
Caterpillar,80521576,Mobile Excavator,2000,1576,80521576
Kubota,MG130-E,Vibratory Compactor,2010,1802,MG130-E
Caterpillar,PC58UU-3,Disc,2004,1045,PC58UU-3
Caterpillar,EX200-5,Feller Buncher,2015,1527,EX200-5
Caterpillar,700H LGP,4WD Tractor,2003,1920,700HLGP
Caterpillar,521EXR,Hydraulic Excavator,2008,1958,521EXR
Liebherr,6330 Premium Cab Tractor,Motor Grader,2010,1906,6330PremiumCabTractor
Terex,JS20MH,Cold Planer,2003,1505,JS20MH
LiuGong,13 QX2 32-42,Crawler Tractor,2007,1243,13QX232-42
Massey Ferguson,7400-18N,Crawler Tractor,2014,1925,7400-18N
Caterpillar,260-3126,Vibratory Smooth Drum Roller,2018,1088,260-3126
Kato,MF 3435 C,Crawler Tractor,2001,1343,MF3435C
New Holland,TM300-52,4WD Tractor,2001,1794,TM300-52
Claas,ZL502B,Hydraulic Excavator,2001,1395,ZL502B
Tong Yang Moolsan,5225 Utility,Crawler Tractor,2014,1718,5225Utility
Hitachi,T7401564,Mini Excavator,2014,1564,T7401564
John Deere,2801144,Multi Terrain Loader,2001,1144,2801144
JCB,EC160C,Combine,2019,1042,EC160C
Bomag,VARIANT 460 FR,Harvester,2003,1355,VARIANT460FR
Case,850H LGP,Vibratory Smooth Drum Roller,2003,1839,850HLGP
John Deere,H20i1256,Baler,2009,1256,H20i1256
Kubota,Row-Crop Tractors _ 8270R _ JD,Vibratory Smooth Drum Roller,2009,1659,Row-CropTractors_8270R_JD
New Holland,226D1683,Motor Scraper,2000,1683,226D1683
Hyundai,Optimer 4002,Harrow,2001,1524,Optimer4002
Hamm,Farmall 95C,Wheel Loader,2009,1405,Farmall95C
Case,M49001389,MFWD Tractor,2017,1389,M49001389
Vogele,11841358,Vibratory Smooth Drum Roller,2002,1358,11841358
AMCO,A85n1907,Asphalt Paver,2018,1907,A85n1907
Case IH,CB24B1905,2WD Tractor,2017,1905,CB24B1905
Volvo,90ZIV1020,Wheel Loader,2010,1020,90ZIV1020
Case,R250LC-7,Wheel Loader,2002,1970,R250LC-7
John Deere,D95B LT,Vibratory Compactor,2018,1866,D95BLT
Burch,QUADRANT 5300 FC,Wheel Loader,2008,1510,QUADRANT5300FC
New Holland,CB66B1996,Compactor,2014,1996,CB66B1996
Ezee-On,T5551499,Harrow,2000,1499,T5551499
Dynapac,PC35MR-3,Wheel Loader,2014,1982,PC35MR-3
RoGator,260-2136,4WD Tractor,2017,1136,260-2136
John Deere,411ZX Zet,Utility Tractor,2001,1738,411ZXZet
Volvo,PC450LC-8,Crawler Loader,2017,1657,PC450LC-8
Challenger,MF 3455 CF,Crawler Tractor,2010,1147,MF3455CF
Iseki,LEXION 760TT,Disc,2006,1565,LEXION760TT
Spra-Coupe,W170C1499,4WD Tractor,2008,1499,W170C1499
MacDon,ASC250HDPD,Wheel Loader,2006,1164,ASC250HDPD
Case IH,D8T WH,Mini Excavator,2018,1043,D8TWH
Wil-Rich,670G_GP,Hydraulic Excavator,2018,1442,670G_GP
Claas,T9.530,2WD Tractor,2014,1651,T9.530
John Deere,T50401329,Disc,2007,1329,T50401329
Taylor Way,63321981,Skid Steer Loader,2017,1981,63321981
John Deere,426ZX1751,Combine,2011,1751,426ZX1751
JCB,HL770-7,Crawler Tractor,2015,1785,HL770-7
Fendt,S1751810,Crawler Tractor,2002,1810,S1751810
Komatsu,L3560HSTCC,4WD Tractor,2001,1685,L3560HSTCC
John Deere,D4E1817,Air Drill,2010,1817,D4E1817
New Holland,HR3.71361,Skidder,2000,1361,HR3.71361
Liebherr,77201740,Vibratory Smooth Drum Roller,2001,1740,77201740
Hitachi,GRW280-12H,Sprayer,2019,1535,GRW280-12H
Kubota,L2211854,Hydraulic Excavator,2004,1854,L2211854
Caterpillar,CB54B - Solid Drum,Mini Excavator,2002,1722,CB54B-SolidDrum
Antec,SH130-5,Wheel Loader,2011,1224,SH130-5
Kubota,E215LCME,Hydraulic Excavator,2011,1309,E215LCME
Case IH,TT75A1878,Wheel Loader,2012,1878,TT75A1878
Kato,247B Series 3,Wheel Loader,2009,1290,247BSeries3
Fendt,160M AWD,Crawler Tractor,2007,1803,160MAWD
John Deere,319D1123,Sprayer,2005,1123,319D1123
Komatsu,HiTech N111e POWER,Midi Excavator,2013,1806,HiTechN111ePOWER
JCB,84501109,Skid Steer Loader,2000,1109,84501109
Challenger,7820 155 PTO hp,Vibratory Smooth Drum Roller,2004,1238,7820155PTOhp
Wacker Neuson,WF350-3,Baler,2002,1303,WF350-3
Land Pride,7501925,Vibratory Smooth Drum Roller,2011,1925,7501925
McCormick,M1551250,2WD Tractor,2006,1250,M1551250
Burch,ECR 40 D,Wheel Loader,2009,1170,ECR40D
Ezee-On,D95 XLT,4WD Tractor,2007,1205,D95XLT
Ezee-On,CS533C,Sprayer,2018,1749,CS533C
John Deere,F30CE1567,4WD Tractor,2018,1567,F30CE1567
Case IH,ZX75US-A,4WD Tractor,2015,1382,ZX75US-A
Caterpillar,TIGER-MATE 255 DOUBLE FOLD,Disc,2003,1762,TIGER-MATE255DOUBLEFOLD
Yanmar,CP563C,Combine,2007,1992,CP563C
John Deere,CK20S1215,Forwarder,2009,1215,CK20S1215
Vogele,98821533,4WD Tractor,2009,1533,98821533
John Deere,L391857,Cultivator,2007,1857,L391857
Ingersoll Rand,1710D1708,Mini Excavator,2014,1708,1710D1708
Hitachi,9620R Scraper Special,Vibratory Smooth Drum Roller,2007,1011,9620RScraperSpecial
Kubota,R914C1964,Asphalt Paver,2003,1964,R914C1964
New Holland,F15B-8222,Midi Excavator,2015,1275,F15B-8222
Zettelmeyer,EX1200-6,Mini Excavator,2016,1799,EX1200-6
Doosan,18001195,4WD Tractor,2016,1195,18001195
Case,950K1214,Hydraulic Excavator,2001,1214,950K1214
John Deere,ZL301273,Loader Backhoe,2007,1273,ZL301273
Kubota,60721564,Vibratory Smooth Drum Roller,2012,1564,60721564
Case IH,86901163,Skid Steer Loader,2001,1163,86901163
John Deere,950J LGP,Asphalt Paver,2018,1946,950JLGP
Case IH,MT845B,Baler,2015,1532,MT845B
JCB,NUTRI-PLACER 940 60 FT,4WD Tractor,2010,1281,NUTRI-PLACER94060FT
Case,644H MH,Hydraulic Excavator,2007,1501,644HMH
AMCO,5961556,Wheel Loader,2013,1556,5961556
Vibromax,411HT1570,Hydraulic Excavator,2009,1570,411HT1570
Takeuchi,CR562S,Crawler Tractor,2014,1480,CR562S
John Deere,Optimer 5002,4WD Tractor,2010,1170,Optimer5002
Dynapac,TC5040,Vibratory Compactor,2004,1640,TC5040
New Holland,6130M1977,4WD Tractor,2017,1977,6130M1977
John Deere,2851161,4WD Tractor,2010,1161,2851161
Caterpillar,10381136,Disc,2011,1136,10381136
Komatsu,2654G1943,4WD Tractor,2012,1943,2654G1943
John Deere,AS4251,Asphalt Paver,2012,1778,AS4251
Bomag,RT1001374,Midi Excavator,2006,1374,RT1001374
Case IH,310E1245,2WD Tractor,2017,1245,310E1245
John Deere,MF6615S,Forwarder,2009,1878,MF6615S
Hitachi,450K1701,4WD Tractor,2000,1701,450K1701
John Deere,508 Cable,Harrow,2019,1494,508Cable
Massey Ferguson,D65EX-15SL,Crawler Tractor,2015,1280,D65EX-15SL
Caterpillar,T4.901763,Feller Buncher,2008,1763,T4.901763
Komatsu,YZD20A,Rock Truck,2017,1736,YZD20A
Terex,TC40D1786,Motor Grader,2011,1786,TC40D1786
John Deere,T6.145,Hydraulic Excavator,2018,1421,T6.145
Zettelmeyer,DX380LL-5,Cultivator,2002,1508,DX380LL-5
Case,ZX6001861,Hydraulic Excavator,2008,1861,ZX6001861
Tata Hitachi,6430 Cab Tractor,MFWD Tractor,2014,1490,6430CabTractor
Tigercat,54031796,2WD Tractor,2002,1796,54031796
McCormick,L1751695,2WD Tractor,2014,1695,L1751695
JCB,1050C WH,Vibratory Smooth Drum Roller,2014,1466,1050CWH
Valtra,RB5631986,Hydraulic Excavator,2004,1986,RB5631986
New Holland,220-2224,Mini Excavator,2001,1085,220-2224
Airman,"NUTRI-PLACER 2800, 1000 GALLON",Loader Backhoe,2008,1115,"NUTRI-PLACER2800,1000GALLON"
Caterpillar,MC120 Power6,Vibratory Compactor,2006,1386,MC120Power6
Ammann,436HT Super High Lift,Utility Tractor,2013,1435,436HTSuperHighLift
Case IH,624E1127,MFWD Tractor,2017,1127,624E1127
Volvo,908M1008,Multi Terrain Loader,2009,1008,908M1008
Case IH,L550 2plus2,MFWD Tractor,2000,1457,L5502plus2
John Deere,582 Silage Special,Hydraulic Excavator,2019,1750,582SilageSpecial
Case,BW 177 DH-5,4WD Tractor,2009,1329,BW177DH-5
Kawasaki,21601642,Skid Steer Loader,2007,1642,21601642
Burch,521D1293,Skid Steer Loader,2012,1293,521D1293
John Deere,PC1250SP-7,Baler,2019,1519,PC1250SP-7
Dynapac,WA75-3,Crawler Tractor,2017,1441,WA75-3
Massey Ferguson,310C1050,Vibratory Smooth Drum Roller,2002,1050,310C1050
Sunflower,S165R-1,Wheel Loader,2019,1171,S165R-1
Massey Ferguson,780D1300,Hydraulic Excavator,2003,1300,780D1300
Goldoni,590 Super M Series III,Multi Terrain Loader,2017,1098,590SuperMSeriesIII
Volvo,HE280LC,Vibratory Smooth Drum Roller,2013,1721,HE280LC
Komatsu,EX100-3,Mini Excavator,2007,1238,EX100-3
Brown Mfg Corp,CC241590,Combine,2010,1590,CC241590
Caterpillar,5054-42,Vibratory Smooth Drum Roller,2019,1238,5054-42
Samsung,PM313 Track Undercarriage,4WD Tractor,2001,1289,PM313TrackUndercarriage
Claas,EC20 Variable Width Undercarriage,Wheel Loader,2013,1748,EC20VariableWidthUndercarriage
Dynapac,MAXXUM 110 VALUE,Mini Excavator,2010,1843,MAXXUM110VALUE
AGCO,LR622B,Vibratory Smooth Drum Roller,2014,1568,LR622B
Caterpillar,PC58UU-3,Cultivator,2014,1509,PC58UU-3
Case,95401641,Skid Steer Loader,2018,1641,95401641
Hamm,KX040-4TA,Skidder,2004,1056,KX040-4TA
JCB,S3301954,Mini Excavator,2003,1954,S3301954
Case IH,47601147,Hydraulic Excavator,2014,1147,47601147
Komatsu,CB44B - Solid Drum,Utility Tractor,2017,1357,CB44B-SolidDrum
Volvo,WD600-6,Combine,2017,1276,WD600-6
Kobelco,MAGNUM 250 WHEELED,MFWD Tractor,2016,1118,MAGNUM250WHEELED
Komatsu,962M Millyard,Hydraulic Excavator,2017,1451,962MMillyard
International,7630 140 PTO hp,Crawler Tractor,2005,1552,7630140PTOhp
Brown Mfg Corp,370LX Road Builder,Crawler Tractor,2013,1592,370LXRoadBuilder
Dynapac,3CX 14FT,4WD Tractor,2005,1440,3CX14FT
Kobelco,304 CR,Cultivator,2017,1926,304CR
Hitachi,Boomer-37,Harvester,2014,1023,Boomer-37
Challenger,EX60LC-5,Asphalt Paver,2007,1373,EX60LC-5
John Deere,BC772RB2,Wheel Loader,2012,1965,BC772RB2
Tong Yang Moolsan,47001551,Integrated Tool Carrier,2018,1551,47001551
Mecalac,JS240NC,Midi Excavator,2010,1835,JS240NC
Kobelco,TSF660,4WD Tractor,2000,1163,TSF660
Kawasaki,L574 2plus2,Crawler Tractor,2008,1813,L5742plus2
Flexi-Coil,5941011,Articulated Dump Truck,2013,1011,5941011
Burch,9631364,Crawler Tractor,2014,1364,9631364
Wil-Rich,ZX180LC-3,Harrow,2019,1903,ZX180LC-3
Hamm,235-2232,Vibratory Smooth Drum Roller,2011,1384,235-2232
Massey Ferguson,VM66D1994,Harrow,2003,1994,VM66D1994
Takeuchi,4411-5,Rock Truck,2016,1123,4411-5
Flexi-Coil,CC1300,Disc,2018,1562,CC1300
Massey Ferguson,5000 HD-40\',Utility Tractor,2018,1382,5000HD-40\'
Kubota,RG1100,Hydraulic Excavator,2011,1387,RG1100
Caterpillar,853J1753,Vibratory Smooth Drum Roller,2001,1753,853J1753
Caterpillar,CCS7 Combination Asphalt Compactor,Air Drill,2015,1193,CCS7CombinationAsphaltCompactor
Caterpillar,D4B LGP,2WD Tractor,2000,1065,D4BLGP
John Deere,FARMALL 95U,Vibratory Compactor,2006,1507,FARMALL95U
Valtra,A75L1301,Vibratory Smooth Drum Roller,2013,1301,A75L1301
John Deere,A751974,Hydraulic Excavator,2017,1974,A751974
Liebherr,SD160F,4WD Tractor,2006,1739,SD160F
Komatsu,BR7301285,Mini Excavator,2008,1285,BR7301285
Hesston,5631210,Mini Excavator,2004,1210,5631210
Liebherr,33101844,Asphalt Paver,2001,1844,33101844
Massey Ferguson,907H21542,Crawler Tractor,2008,1542,907H21542
John Deere,MT665B,Vibratory Smooth Drum Roller,2000,1879,MT665B
JCB,302.7D CR,Asphalt Paver,2015,1647,302.7DCR
New Holland,ZX480MT,Loader Backhoe,2006,1822,ZX480MT
Komatsu,650G LT,Midi Excavator,2016,1561,650GLT
Case,336 GC,4WD Tractor,2001,1340,336GC
Hardi,L5040GST,4WD Tractor,2012,1015,L5040GST
Tong Yang Moolsan,TXC470LC-1,Loader Backhoe,2003,1761,TXC470LC-1
Komatsu,Grass Harrow 10.5,Hydraulic Excavator,2004,1046,GrassHarrow10.5
